,bop date,eop date,bop XLU price,eop XLU price,XLU cop,XLU pct cop,bop FUTY price,eop FUTY price,FUTY cop,FUTY pct cop,bop VPU price,eop VPU price,VPU cop,VPU pct cop,VPU / XLU,XLU scalar,eop XLU unit price,VPU / FUTY,FUTY scalar,eop FUTY unit price,VPU / VPU,VPU scalar,eop VPU unit price,max_price,min_price,pct_diff
1192,2026-05-29,2026-06-01,44.42,43.1,-1.3200000000000005,-0.0301668213565793,57.53,55.83,-1.7000000000000028,-0.029995191552933,192.66,187.11,-5.549999999999983,-0.0292302981233365,4.341299303944315,4.3274,186.51094,3.3514239656098876,3.352,187.14216,1.0,1.0,187.11,187.14216,186.51094,0.0033786450612112388
1193,2026-06-01,2026-06-02,43.1,43.9,0.7999999999999972,0.0183913229714234,55.83,56.94,1.1099999999999994,0.0196867225276224,187.11,190.78,3.669999999999988,0.019424252510921,4.345785876993166,4.3274,189.97286,3.3505444327362137,3.352,190.86288,1.0,1.0,190.78,190.86288,189.97286,0.004674044617410182
1194,2026-06-02,2026-06-03,43.9,43.71,-0.1899999999999977,-0.0043374112059024,56.94,56.6,-0.3399999999999963,-0.0059890966407541,190.78,189.68,-1.0999999999999943,-0.0057824899599119,4.339510409517273,4.3274,189.150654,3.351236749116608,3.352,189.7232,1.0,1.0,189.68,189.7232,189.150654,0.0030223591825584532
1195,2026-06-03,2026-06-04,43.71,43.94,0.2299999999999968,0.0052481580812408,56.6,56.94,0.3399999999999963,0.0059890966407542,189.68,190.85,1.1699999999999875,0.0061493374340885,4.343422849340009,4.3274,190.14595599999998,3.3517737969792765,3.352,190.86288,1.0,1.0,190.85,190.86288,190.14595599999998,0.003763297742071846
1196,2026-06-04,2026-06-05,43.94,44.35,0.4100000000000037,0.0092876417991243,56.94,57.39,0.4500000000000028,0.0078719902703797,190.85,192.36,1.510000000000019,0.0078808372182231,4.337316798196167,4.3274,191.92019,3.3518034500784113,3.352,192.37127999999998,1.0,1.0,192.36,192.37127999999998,191.92019,0.002347646213327114
1197,2026-06-05,2026-06-08,44.35,43.52,-0.8299999999999983,-0.0188921062079013,57.39,56.32,-1.0700000000000005,-0.0188203602704842,192.36,188.75,-3.6100000000000136,-0.0189452282803279,4.337086397058823,4.3274,188.328448,3.3513849431818183,3.352,188.78464,1.0,1.0,188.75,188.78464,188.328448,0.0024193921507441284
1198,2026-06-08,2026-06-09,43.52,43.98,0.4599999999999937,0.0105143825789278,56.32,56.86,0.5399999999999991,0.0095423943730667,188.75,190.6,1.8499999999999943,0.0097536030909676,4.333788085493406,4.3274,190.31905199999997,3.3520928596552935,3.352,190.59472,1.0,1.0,190.6,190.6,190.31905199999997,0.0014751063222944439
1199,2026-06-09,2026-06-10,43.98,44.0,0.0200000000000031,0.0004546487916461,56.86,56.89,0.0300000000000011,0.0005274725397024,190.6,190.57,-0.0300000000000011,-0.0001574100798171,4.331136363636364,4.3274,190.4056,3.3497978555106345,3.352,190.69528,1.0,1.0,190.57,190.69528,190.4056,0.001520227692939359
1200,2026-06-10,2026-06-11,44.0,44.05,0.0499999999999971,0.0011357184639272,56.89,56.89,0.0,0.0,190.57,190.7,0.1299999999999954,0.0006819314660887,4.329171396140749,4.3274,190.62196999999998,3.3520829671295482,3.352,190.69528,1.0,1.0,190.7,190.7,190.62196999999998,0.00040926045299272156
1201,2026-06-11,2026-06-12,44.05,44.53,0.480000000000004,0.0108377669514226,56.89,57.54,0.6499999999999986,0.0113607793608457,190.7,192.89,2.1899999999999977,0.0114185656297755,4.331686503480799,4.3274,192.699122,3.352276677094195,3.352,192.87408,1.0,1.0,192.89,192.89,192.699122,0.0009900591313455672
