date,FENY,FHLC,FIDU,FREL,FSTA,FTEC,FUTY,IDU,IYE,IYF,IYH,IYJ,IYK,IYR,IYW,VDC,VDE,VFH,VGT,VHT,VNQ,VPU,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV
12/29/2021,15.26,68.75,56.2,34.49,46.48,136.8,45.97,87.83,30.24,87.07,60.196,112.87,66.4833,115.43,116.1,198.7,78.08,96.92,57.86,266.61,115.19,155.16,27.85,39.19,105.74,87.94,76.83,51.47,35.535,141.2
12/30/2021,15.14,68.98,56,34.64,46.37,136.15,46.16,88.04,30.06,86.79,60.376,112.62,66.37,115.95,115.61,198.6,77.38,96.67,57.5575,267.51,115.69,155.79,27.68,39.12,105.36,87.36,76.59,51.7,35.665,141.49
12/31/2021,15.18,68.66,56.2,34.72,46.67,135.4,46.32,88.43,30.1,86.69,60.074,112.74,66.7267,116.14,114.82,199.88,77.61,96.57,57.2713,266.42,116.01,156.4,27.75,39.05,105.81,86.935,77.11,51.81,35.79,140.89
1/3/2022,15.67,68.16,55.88,34.45,46.7,136.53,45.9,87.48,31,87.57,59.52,112.7,66.7533,115.26,115.41,199.93,80.1,97.67,57.75,264.71,115.1,155.01,28.61,39.53,104.94,87.76,77.1,51.33,35.435,139.44
1/4/2022,16.21,67.15,56.85,34.45,46.93,134.87,45.77,87.4,31.96,89.6,58.596,114.07,67.3133,115.04,113.91,200.92,82.9,99.9,57.02,260.46,114.96,154.73,29.6,40.57,107.05,86.83,77.62,51.13,35.325,137.6
1/5/2022,16.14,66.29,56.08,33.46,46.86,130.34,45.65,87.02,31.79,88.38,57.988,112.77,67.44,111.63,109.66,200.57,82.53,98.48,55.1275,257.28,111.67,154.33,29.595,40.1,106.03,84.16,77.55,49.47,35.305,136.62
1/6/2022,16.53,65.56,56.23,33.48,46.77,129.79,45.22,86.25,32.46,89.79,57.354,112.81,67.2333,111.61,109.53,200.08,84.48,100.1,54.9188,254.04,111.77,152.78,30.255,40.69,106.52,83.735,77.34,49.53,34.94,135.04
1/7/2022,16.72,65.06,55.97,33.27,46.88,128.49,45.58,86.86,32.84,90.64,56.96,112.24,67.6933,110.86,108.42,200.59,85.52,101.06,54.3575,252.48,111.03,153.91,30.67,41.17,106.49,82.965,77.42,49.27,35.205,134.35
1/10/2022,16.67,65.69,55.41,33.05,46.49,128.69,45.25,86.27,32.73,90.37,57.464,110.98,67.51,110.3,108.83,199.08,85.24,100.77,54.415,255.19,110.39,152.87,30.575,41.03,105.29,82.98,76.81,48.98,34.975,135.73
1/11/2022,17.26,66.22,55.79,33.09,46.48,130.39,44.88,85.57,33.83,91.28,57.946,112.05,67.4767,110.58,110.26,199.12,88.22,101.74,55.1338,257.29,110.56,151.54,31.615,41.39,105.92,83.975,76.72,48.9,34.66,136.81
1/12/2022,17.32,65.94,55.89,33.13,46.45,130.68,45.05,85.89,33.93,91.32,57.786,112.16,67.47,110.69,110.79,198.91,88.55,101.75,55.3138,255.83,110.69,151.96,31.675,41.42,106.26,84.37,76.75,49.03,34.77,136.42
1/13/2022,17.19,64.78,55.91,33.11,46.59,127.12,45.18,86.12,33.69,90.89,56.752,111.8,67.7433,110.34,107.58,199.46,87.83,101.35,53.75,251.4,110.47,152.6,31.515,41.26,106.49,82.185,76.89,48.86,34.94,134.3
1/14/2022,17.61,64.72,55.59,32.79,46.67,128.05,44.98,85.68,34.45,90.16,56.664,111.08,68.2267,109.29,108.66,199.76,90.05,100.46,54.1838,251.22,109.47,151.85,32.255,40.83,105.85,82.88,77.03,48.29,34.7,134.07
1/18/2022,17.62,63.56,54.8,32.46,45.97,124.92,44.4,84.57,34.49,88.23,55.708,109.56,67.2867,108.31,105.67,196.99,90.15,98.22,52.8013,246.47,108.32,150.05,32.385,39.92,104.63,80.89,75.92,47.96,34.285,132.19
1/19/2022,17.48,63.28,54.12,32.03,46.16,123.16,44.59,84.86,34.2,86.69,55.512,108.39,67.58,106.95,104.37,197.55,89.39,96.46,52.065,245.42,106.86,150.55,32.15,39.25,103.46,79.76,76.4,47.34,34.44,131.65
