date,IYJ,IYK
2024-07-05,119.26,65.68
2024-07-08,119.24,65.54
2024-07-09,118.76,65.27
2024-07-10,119.45,65.65
2024-07-11,121.1,65.88
2024-07-12,122.19,66.37
2024-07-15,123.3,65.8
2024-07-16,126.18,66.59
2024-07-17,125.17,67.76
2024-07-18,124.29,67.43
2024-07-19,123.23,67.23
2024-07-22,124.58,67.07
2024-07-23,124.48,66.71
2024-07-24,121.59,67.14
2024-07-25,122.54,67.49
2024-07-26,124.78,68.37
2024-07-29,124.96,68.55
2024-07-30,125.62,68.21
2024-07-31,127.2,67.9
2024-08-01,125.02,68.79
2024-08-02,122.26,69.64
2024-08-05,119.44,68.32
2024-08-06,120.62,68.57
2024-08-07,119.94,68.78
2024-08-08,122.35,68.79
2024-08-09,122.46,68.63
2024-08-12,121.77,68.02
2024-08-13,123.23,68.5
2024-08-14,123.79,68.95
2024-08-15,125.68,68.91
2024-08-16,125.58,69.16
2024-08-19,126.18,69.44
2024-08-20,125.93,69.68
2024-08-21,126.75,69.92
2024-08-22,126.6,69.84
2024-08-23,127.87,70.01
2024-08-26,127.97,70.35
2024-08-27,127.98,70.29
2024-08-28,127.73,70.31
2024-08-29,128.98,70.25
2024-08-30,130.26,70.79
2024-09-03,127.61,71.66
2024-09-04,127.7,72.12
2024-09-05,126.23,71.59
2024-09-06,125.17,71.45
2024-09-09,126.96,71.77
2024-09-10,127.18,71.64
2024-09-11,127.54,70.78
2024-09-12,128.62,71.06
2024-09-13,129.67,71.55
2024-09-16,130.74,72.0
2024-09-17,131.38,71.45
2024-09-18,131.04,71.0
2024-09-19,133.1,70.51
2024-09-20,132.25,70.62
2024-09-23,133.07,70.83
2024-09-24,132.85,70.52
2024-09-25,131.81,69.8
2024-09-26,133.03,70.04
2024-09-27,133.32,70.48
2024-09-30,133.67,70.57
2024-10-01,133.66,70.39
2024-10-02,133.57,69.81
2024-10-03,132.97,69.06
2024-10-04,133.86,69.17
2024-10-07,133.29,68.63
2024-10-08,133.59,68.96
2024-10-09,134.66,69.26
2024-10-10,134.01,69.2
2024-10-11,135.66,69.57
2024-10-14,136.78,70.07
2024-10-15,136.16,70.32
2024-10-16,137.53,70.35
2024-10-17,137.57,70.06
2024-10-18,137.86,70.07
2024-10-21,136.98,69.5
2024-10-22,135.43,69.93
2024-10-23,135.18,69.63
2024-10-24,134.55,69.48
2024-10-25,134.13,68.98
2024-10-28,134.81,69.11
2024-10-29,134.15,68.41
2024-10-30,134.39,68.37
2024-10-31,133.17,68.32
2024-11-01,133.51,68.3
2024-11-04,133.47,68.37
2024-11-05,135.32,68.86
2024-11-06,140.97,68.02
2024-11-07,140.3,68.02
2024-11-08,141.36,68.76
2024-11-11,142.86,68.53
2024-11-12,141.66,68.4
2024-11-13,141.77,68.58
